locality_a,locality_b,transit_time_mins
cl--region-metropolitana-santiago-centro,cl--region-metropolitana-santiago-oriente,16
cl--region-metropolitana-santiago-centro,cl--region-metropolitana-santiago-suroriente,27
cl--region-metropolitana-santiago-centro,cl--region-metropolitana-santiago-sur,14
cl--region-metropolitana-santiago-centro,cl--region-metropolitana-santiago-surponiente,23
cl--region-metropolitana-santiago-centro,cl--region-metropolitana-santiago-norponiente,17
cl--region-metropolitana-santiago-centro,cl--region-metropolitana-santiago-norte,15
cl--region-metropolitana-santiago-oriente,cl--region-metropolitana-santiago-suroriente,26
cl--region-metropolitana-santiago-suroriente,cl--region-metropolitana-santiago-sur,17
cl--region-metropolitana-santiago-sur,cl--region-metropolitana-santiago-surponiente,12
cl--region-metropolitana-santiago-surponiente,cl--region-metropolitana-santiago-norponiente,20
cl--region-metropolitana-santiago-norponiente,cl--region-metropolitana-santiago-norte,17
cl--region-metropolitana-santiago-norte,cl--region-metropolitana-santiago-oriente,15
cl--region-metropolitana-santiago-oriente,cl--region-metropolitana-santiago-sur,24
cl--region-metropolitana-santiago-suroriente,cl--region-metropolitana-santiago-surponiente,28
cl--region-metropolitana-santiago-sur,cl--region-metropolitana-santiago-norponiente,20
cl--region-metropolitana-santiago-surponiente,cl--region-metropolitana-santiago-norte,25
cl--region-metropolitana-santiago-norponiente,cl--region-metropolitana-santiago-oriente,22
cl--region-metropolitana-santiago-norte,cl--region-metropolitana-santiago-suroriente,31
cl--region-metropolitana-santiago-norte,cl--region-metropolitana-colina,20
cl--region-metropolitana-santiago-suroriente,cl--region-metropolitana-cajon-del-maipo,52
cl--region-metropolitana-santiago-sur,cl--region-metropolitana-cajon-del-maipo,53
cl--region-metropolitana-santiago-sur,cl--region-metropolitana-valle-del-maipo,20
cl--region-metropolitana-santiago-surponiente,cl--region-metropolitana-valle-del-maipo,27
cl--region-metropolitana-santiago-surponiente,cl--region-metropolitana-melipilla,45
cl--region-metropolitana-santiago-sur,cl--region-metropolitana-melipilla,47
cl--region-metropolitana-santiago-norponiente,cl--region-metropolitana-curacavi,34
cl--region-metropolitana-santiago-surponiente,cl--region-metropolitana-curacavi,35
cl--region-metropolitana-santiago-norte,cl--region-metropolitana-curacavi,35
cl--region-metropolitana-valle-del-maipo,cl--region-metropolitana-melipilla,55
cl--region-metropolitana-melipilla,cl--region-metropolitana-curacavi,52
cl--valparaiso ciudad-de-valparaiso,cl--valparaiso-vina-del-mar,10
cl--valparaiso-vina-del-mar,cl--valparaiso-renaca-concon,18
cl--valparaiso-vina-del-mar,cl--valparaiso-quilpue-villa-alemana,23
cl--valparaiso-quilpue-villa-alemana,cl--valparaiso-quillota,36
cl--valparaiso-renaca-concon,cl--valparaiso-quillota,40
cl--valparaiso ciudad-de-valparaiso,cl--valparaiso-placilla-casablanca,24
cl--valparaiso-quilpue-villa-alemana,cl--valparaiso-placilla-casablanca,32
cl--valparaiso-placilla-casablanca,cl--region-metropolitana-curacavi,26
cl--valparaiso-placilla-casablanca,cl--valparaiso-san-antonio-algarrobo,44
cl--region-metropolitana-curacavi,cl--valparaiso-san-antonio-algarrobo,53
cl--region-metropolitana-melipilla,cl--valparaiso-san-antonio-algarrobo,42
cl--region-metropolitana-colina,cl--valparaiso-san-felipe-los-andes,48
cl--valparaiso-quillota,cl--valparaiso-san-felipe-los-andes,61
cl--valparaiso-quillota,cl--region-metropolitana-colina,80
cl--valparaiso-quillota,cl--region-metropolitana-santiago-norte,76
cl--valparaiso-quillota,cl--valparaiso-la-ligua,47
cl--valparaiso-san-felipe-los-andes,cl--valparaiso-la-ligua,73
cl--valparaiso-san-felipe-los-andes,ar--mendoza-maipu-lujan-de-cuyo,303
ar--mendoza-maipu-lujan-de-cuyo,ar--mendoza-godoy-cruz,12
ar--mendoza-godoy-cruz,ar--mendoza-mendoza-ciudad,12
ar--mendoza-mendoza-ciudad,ar--mendoza-guaymallen,12
ar--mendoza-mendoza-ciudad,ar--mendoza-las-heras,10
ar--mendoza-guaymallen,ar--mendoza-godoy-cruz,11
ar--mendoza-guaymallen,ar--mendoza-maipu-lujan-de-cuyo,16
ar--mendoza-guaymallen,ar--mendoza-lavalle,32
ar--mendoza-guaymallen,ar--mendoza-san-martin,30
ar--mendoza-san-martin,ar--mendoza-santa-rosa-la-paz,47
ar--mendoza-maipu-lujan-de-cuyo,ar--mendoza-valle-de-uco,51
ar--mendoza-valle-de-uco,ar--mendoza-san-rafael,111
ar--mendoza-san-rafael,ar--mendoza-malargue,130
ar--mendoza-valle-de-uco,ar--mendoza-malargue,156
ar--mendoza-san-rafael,ar--mendoza-general-alvear,65
ar--mendoza-santa-rosa-la-paz,ar--mendoza-san-rafael,154
ar--mendoza-santa-rosa-la-paz,ar--mendoza-general-alvear,149
cl--region-metropolitana-valle-del-maipo,cl--o-higgins-rancagua,39
cl--o-higgins-rancagua,cl--o-higgins-valle-de-colchagua,40
cl--o-higgins-valle-de-colchagua,cl--o-higgins-pichilemu,113
cl--valparaiso-san-antonio-algarrobo,cl--o-higgins-pichilemu,150
cl--region-metropolitana-melipilla,cl--o-higgins-pichilemu,128
cl--o-higgins-valle-de-colchagua,cl--maule-curico,40
cl--maule-curico,cl--maule-talca,49
